English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish
heart,ልብ (lib),قلب (qalb),zuciya,قلب (qalb),لُبّ (lubb),قلب (galb),tim,jantung,jantung,puso,ಹೃದಯ (hṛdaya),இதயம் (itayam),గుండె (guṇḍe),হৃদয় (hridoẏ),हीव (hīv),heart,cœur,હૈયું (haiyũ),दिल (dil),دل (del),cuore,हृदय (hruday),coração,се́рдце (sérdce),corazón,Herz,دل (dil),دِل (dil),心 (kokoro),심장 (simjang),หัวใจ (huachai),moyo,心臟 (xīnzàng),心 (shin),心 (sām),yürek
liver,ጉበት (gubet),كبد (kibd),hanta,كبدة (kibde),كَبِد (kabid),كبدة (kibdah),gan,hati,ati,atay,ಈಲಿ (īli),ஈரல் (īral),కాలేయం (kālēyaṁ),কলিজা (kolija),जिगर (jigar),liver,foie,યકૃત (yakŕt),जिगर (jigar),جگر (jegar),fegato,यकृत (yakrut),fígado,пе́чень (péčenʹ),hígado,Leber,جگر (jigar),جگر (jigar),肝 (kimo),간 (gan),ตับ (tap),ini,肝 (gān),肝 (koe),肝 (gōn),karaciğer
drink (v.),መጠጣት (meṭeṭat),شرب (shirib),sha,شرب (shirib),شَرِبَ (shariba),شرب (sharab),uống,minum,ngombé,uminom,ಕುಡಿ (kuḍi),குடி (kuṭi),తాగు (tāgu),পান (pan),पीए (pīe),drink,boire,પીવું (pīvũ),पीना (pīnā),نوشیدن (nušidan),bere,पिणे (piṇe),beber,пить (pitʹ),beber,trinken,پینا (pīnā),پینا (pīṇā),飲む (nomu),마시다 (masida),ดื่ม (duem),nywa,喝 (hē),喝 (haq),飲 (yám),içmek
eat (v.),መብላት (meblat),كل (kal),ci,أكل (akal),أَكَلَ (akala),أكل (akal),ăn,makan,mangan,kumain,ತಿನ್ನು (tinnu),சாப்பிடு (cāppiṭu),తిను (tinu),খাওয়া (khaōẇa),खाए (khāe),eat,manger,ખાવું (khāvũ),खाना (khānā),خوردن (xordan),mangiare,खाणे (khāṇe),comer,есть (jestʹ),comer,essen,کھانا (khānā),کھانا (khāṇā),食う (kuu),먹다 (meokda),กิน (kin),la,吃 (chī),吃 (chiq),食 (sihk),yemek
bite (v.),መንከስ (menkes),عض ('aḍḍ),ciza,عض ('aḍḍ),عَضَّ ('aḍḍa),عض (aḍḍ),cắn,gigit,nyokot,kumagat,ಕಡಿ (kaḍi),கடி (kaṭi),కొరుకు (koruku),কামড়ানো (kamṛanō),काटे (kāṭe),bite,mordre,બચકું ભરવું (backũ bharvũ),काटना (kāṭnā),گزیدن (gazidan),mordere,चावणे (ċāvṇe),morder,куса́ть (kusátʹ),morder,beißen,کاٹنا (kāṭnā),چُنڈنا (cūṇḍṇā),噛む (kamu),물다 (mulda),กัด (kat),donoa,咬 (yǎo),咬 (ngau),咬 (ngáauh),ısırmak
see (v.),ማየት (mayet),شاف (shāf),gani,شاف (shāf),رَأَى (ra'ā),شاف (shāf),thấy,lihat,ndeleng,makita,ನೋಡು (nōḍu),பார் (pār),చూచు (cūcu),দেখা (dekha),देखे (dekhe),see,voir,જોવું (jovũ),देखना (dekhnā),دیدن (didan),vedere,पाहणे (pāhṇe),ver,ви́деть (vídetʹ),ver,sehen,دیکھنا (dekhnā),ویکھنا (vekhṇā),見る (miru),보다 (boda),เห็น (hen),ona,看 (kàn),看 (khoe),見 (gin),görmek
hear (v.),መስማት (mesmat),سمع (simi'),ji,سمع (simi'),سَمِعَ (sami'a),سمع (sima'a),nghe,dengar,krungu,marinig,ಕೇಳು (kēḷu),கேள் (kēḷ),విను (vinu),শোনা (śōna),सुने (sune),hear,entendre,સાંભળવું (sā̃bhaḷvũ),सुनना (sunnā),شنیدن (šenidan),sentire,ऐकणे (aikṇe),ouvir,слы́шать (slýšatʹ),oír,hören,سننا (sunnā),سُننا (suṇnā),聞く (kiku),듣다 (deutda),ได้ยิน (daiyin),sikia,聽 (tīng),聽 (thin),聽 (tēng),işitmek
know (v.),ማወቅ (maweq),عرف ('irif),sani,عرف ('arif),عَرَفَ ('arafa),عرف (arif),biết,tahu,ngerti,umalam,ತಿಳಿ (tiḷi),அறி (aṟi),తెలుసుకొను (telusukonu),জানা (jana),जाने (jāne),know,savoir,જાણવું (jāṇvũ),जानना (jānnā),دانستن (dânestan),sapere,जाणणे (j̈āṇṇe),saber,знать (znatʹ),saber,wissen,جاننا (jānnā),جاننا (jāṇnā),知る (shiru),알다 (alda),รู้ (ru),jua,知道 (zhīdào),曉得 (shiau teq),知 (jī),bilmek
sleep (v.),መተኛት (meteñat),نام (nām),yi barci,نام (nām),نَامَ (nāma),نام (nām),ngủ,tidur,turu,matulog,ಮಲಗು (malagu),தூங்கு (tūṅku),కునుకు (kunuku),ঘুমানো (ghumanō),सुते (sute),sleep,dormir,ઊંઘવું (ū̃ghavũ),सोना (sonā),خوابیدن (xâbidan),dormire,झोपणे (j̈hopṇe),dormir,спать (spatʹ),dormir,schlafen,سونا (sonā),سَونا (sauṇā),寝る (neru),자다 (jada),นอน (non),lala,睡 (shuì),睏 (khuen),瞓 (fan),uyumak
die (v.),መሞት (memot),مات (māt),mutu,مات (māt),مَاتَ (māta),مات (māt),chết,mati,mati,mamatay,ಸಾಯಿ (sāyi),சா (cā),చచ్చు (caccu),মরা (mora),मरे (mare),die,mourir,મરવું (marvũ),मरना (marnā),مردن (mordan),morire,मरणे (marṇe),morrer,умира́ть (umirátʹ),morir,sterben,مرنا (marnā),مرنا (marnā),死ぬ (shinu),죽다 (jukda),ตาย (tai),fa,死 (sǐ),死 (shi),死 (séi),ölmek
kill (v.),መግደል (megdel),قتل (qatal),kashe,قتل (qatal),قَتَلَ (qatala),قتل (katal),giết,bunuh,matèni,pumatay,ಕೊಲ್ಲು (kollu),கொல் (kol),చంపు (campu),মারা (mara),मारे (māre),kill,tuer,મારવું (mārvũ),मारना (mārnā),کشتن (koštan),uccidere,मारणे (mārṇe),matar,убива́ть (ubivátʹ),matar,töten,مارنا (mārnā),مارنا (mārnā),殺す (korosu),죽이다 (jugida),ฆ่า (kha),ua,殺 (shā),殺 (saq),殺 (saat),öldürmek
swim (v.),መዋኘት (mewañat),عام ('ām),yi iyo,سبح (sibaḥ),سَبَحَ (sabaḥa),عام (ām),bơi,renang,nglangi,lumangoy,ಈಜು (īju),நீந்து (nīntu),ఈదు (īdu),সাঁতরানো (śãtranō),तैरे (taire),swim,nager,તરવું (tarvũ),तैरना (tairnā),شنا کردن (šenâ kardan),nuotare,पोहणे (pohṇe),nadar,пла́вать (plávatʹ),nadar,schwimmen,تیرنا (tairnā),تیرنا (tairnā),泳ぐ (oyogu),수영하다 (suyeonghada),ว่ายน้ำ (wai nam),ogelea,游 (yóu),游泳 (yeu ion),游水 (yàuh seúi),yüzmek
fly (v.),መብረር (mebrer),طار (ṭār),tashi,طار (ṭār),طَارَ (ṭāra),طار (ṭār),bay,terbang,mabur,lumipad,ಹಾರು (hāru),பற (paṟa),ఎగురు (eguru),ওড়া (ōṛa),उड़े (uṛe),fly,voler,ઉડવું (uḍavũ),उड़ना (uṛnā),پریدن (paridan),volare,उडणे (uḍṇe),voar,лета́ть (letátʹ),volar,fliegen,اڑنا (uṛnā),اڈنا (uḍḍaṇā),飛ぶ (tobu),날다 (nalda),บิน (bin),paa,飛 (fēi),飛 (fi),飛 (fēi),uçmak
walk (v.),መራመድ (meramed),مشى (masha),yi tafiya a ƙas,مشى (masha),مَشَى (mashā),مشى (masha),đi,jalan,mlaku,maglakad,ನಡೆ (naḍe),நட (naṭa),నడుచు (naḍucu),হাঁটা (hãṭa),चले (chale),walk,marcher,ચાલવું (cālvũ),चलना (calnā),راه رفتن (râh raftan),camminare,चालणे (ċālṇe),andar,ходи́ть (xodítʹ),caminar,gehen,چلنا (calnā),ٹرنا (turnā),歩く (aruku),걷다 (geotda),เดิน (doen),tembea,走 (zǒu),走 (tseu),行 (hàahng),yürümek
come (v.),መምጣት (memṭat),جه (ga),zo,إجا (ija),جَاءَ (jā'a),جاء (ja),đến,datang,teka,dumating,ಬಾ (bā),வா (vā),వచ్చు (vaccu),আসা (aśa),आवे (āve),come,venir,આવવું (āvavũ),आना (ānā),آمدن (âmadan),venire,येणे (yeṇe),vir,приходи́ть (prixodítʹ),venir,kommen,آنا (ānā),آونا (āuṇā),来る (kuru),오다 (oda),มา (ma),ja,來 (lái),來 (le),嚟 (làih),gelmek
lie (down) (v.),መተኛት (meteñat),رقد (ra'ad),yi kwanciya,نام (nām),رَقَدَ (raqada),رقد (ragad),nằm,baring,turon,humiga,ಪಡು (paḍu),படு (paṭu),పడుకొను (paḍukonu),শোয়া (śōẇa),लेटे (leṭe),lie,s’étendre,સુવું (suvũ),लेटना (leṭnā),دراز کشیدن (derâz kešidan),distendersi,आडवे होणे (āḍve hoṇe),deitar-se,лежа́ть (ležátʹ),echarse,liegen,لیٹنا (leṭnā),لیٹنا (leṭṇā),横たわる (yokotawaru),눕다 (nupda),นอน (non),gona,躺 (tǎng),睏 (khuen),瞓 (fan),yatmak
sit (v.),መቀመጥ (meqemeṭ),قعد (qa'ad),zauna,قعد ('a'ad),جَلَسَ (jalasa),قعد (ga'ad),ngồi,duduk,lungguh,umupo,ಕೂರು (kūru),உட்கார் (uṭkār),కూర్చొను (kūrconu),বসা (bośa),बैठे (baiṭhe),sit,s’asseoir,બેસવું (besvũ),बैठना (baiṭhnā),نشستن (nešastan),sedersi,बसणे (basṇe),sentar-se,сиде́ть (sidétʹ),sentarse,sitzen,بیٹھنا (baiṭhnā),بہنا (bahiṇā),座る (suwaru),앉다 (anta),นั่ง (nang),kaa,坐 (zuò),坐 (zu),坐 (chóh),oturmak
stand (v.),መቆም (meqom),وقف (wa'af),miƙe tsaye,وقف (waqqaf),وَقَفَ (waqafa),وقف (wagaf),đứng,diri,ngadeg,tumayo,ನಿಲ್ಲು (nillu),நில் (nil),నిలుచొను (niluconu),দাঁড়ানো (dãṛanō),ठाड़ होवे (ṭhāṛ hove),stand,se lever,ઊભવું (ūbhavũ),खड़ा होना (khaṛā honā),ایستادن (istâdan),stare in piedi,उभे राहणे (ubhe rāhṇe),pôr-se de pé,стоя́ть (stojátʹ),levantarse,stehen,کھڑا ہونا (khaṛā honā),کھڑنا (khaṛhnā),立つ (tatsu),서다 (seoda),ยืน (yuen),simama,站 (zhàn),立 (liq),企 (kéih),durmak
give (v.),መስጠት (mesṭet),ادى (adda),ba,أعطى ('a'ṭa),أَعْطَى (a'ṭā),أدى (adda),cho,beri,wènèhi,magbigay,ಕೊಡು (koḍu),கொடு (koṭu),ఇచ్చు (iccu),দেওয়া (deōẇa),देवे (deve),give,donner,આપવું (āpavũ),देना (denā),دادن (dâdan),dare,देणे (deṇe),dar,дава́ть (davátʹ),dar,geben,دینا (denā),دینا (deṇā),与える (ataeru),주다 (juda),ให้ (hai),pa,給 (gěi),撥 (peq),畀 (béi),vermek
say (v.),ማለት (malet),قال (qāl),ce,قال (qāl),قَالَ (qāla),قال (gāl),nói,kata,ngomong,magsabi,ಹೇಳು (hēḷu),சொல் (col),చెప్పు (ceppu),বলা (bola),कहे (kahe),say,dire,બોલવું (bolvũ),कहना (kahnā),گفتن (goftan),dire,म्हणणे (mhaṇṇe),dizer,говори́ть (govorítʹ),decir,sagen,کہنا (kahnā),آکھنا (ākhaṇā),言う (iu),말하다 (malhada),พูด (phut),sema,說 (shuō),講 (kaon),講 (góng),demek
sun,ፀሐይ (ṣehay),شمس (shams),rana,شمس (shams),شَمْس (shams),شمس (shams),mặt trời,matahari,srengéngé,araw,ಸೂರ್ಯ (sūrya),சூரியன் (cūriyaṉ),సూర్యుడు (sūryuḍu),সূর্য (śurjo),सूरज (sūraj),sun,soleil,સૂર્ય (sūrya),सूरज (sūraj),خورشید (xoršid),sole,सूर्य (sūrya),sol,со́лнце (sólnce),sol,Sonne,سورج (sūraj),سُورج (sūraj),日 (hi),해 (hae),ตะวัน (tawan),jua,太陽 (tàiyáng),太陽 (tha yan),太陽 (taai yèuhng),güneş
moon,ጨረቃ (čereqa),قمر (qamar),wata,قمر (qamar),قَمَر (qamar),قمر (gamar),trăng,bulan,rembulan,buwan,ಚಂದ್ರ (candra),நிலா (nilā),చంద్రుడు (candruḍu),চাঁদ (cãd),चान् (chān),moon,lune,ચંદ્ર (candra),चांद (cānd),ماه (mâh),luna,चंद्र (candra),lua,луна́ (luná),luna,Mond,چاند (cānd),چند (cann),月 (tsuki),달 (dal),เดือน (duean),mwezi,月亮 (yuèliang),月亮 (yuiq lian),月亮 (yuht leúhng),ay
star,ኮከብ (kokeb),نجمة (nigma),tauraro,نجمة (nijme),نَجْم (najm),نجمة (najma),sao,bintang,lintang,bituin,ನಕ್ಷತ್ರ (nakṣatra),நட்சத்திரம் (naṭcattiram),నక్షత్రం (nakṣatraṁ),তারা (tara),तारा (tārā),star,étoile,તારો (tāro),तारा (tārā),ستاره (setâre),stella,तारा (tārā),estrela,звезда́ (zvezdá),estrella,Stern,ستارہ (sitārā),تارا (tārā),星 (hoshi),별 (byeol),ดาว (dao),nyota,星 (xīng),星星 (shin shin),星 (sīng),yıldız
water,ውሃ (wiha),مية (mayya),ruwa,مي (mayy),مَاء (mā'),موية (moya),nước,air,banyu,tubig,ನೀರು (nīru),நீர் (nīr),నీరు (nīru),জল (jol),पानी (pānī),water,eau,પાણી (pāṇī),पानी (pānī),آب (âb),acqua,पाणी (pāṇī),água,вода́ (vodá),agua,Wasser,پانی (pānī),پانی (pāṇī),水 (mizu),물 (mul),น้ำ (nam),maji,水 (shuǐ),水 (sy),水 (seúi),su
rain,ዝናብ (zinab),مطر (maṭar),ruwan sama,شتا (shita),مَطَر (maṭar),مطر (maṭar),mưa,hujan,udan,ulan,ಮಳೆಸುರಿ (maḷesuri),மழை (maḻai),కురియు (kuriyu),বৃষ্টি (briśṭi),बरखा (barkhā),rain,pluie,વરસાદ (varsād),बारिश (bāriś),باران (bârân),pioggia,पाऊस (pāūs),chuva,дождь (doždʹ),lluvia,Regen,بارش (barish),میہ (mī̃h),雨 (ame),비 (bi),ฝน (fon),mvua,雨 (yǔ),雨 (yu),雨 (yúh),yağmur
stone,ድንጋይ (dingay),حجر (ḥagar),dutse,حجر (ḥajar),حَجَر (ḥajar),حجر (ḥajar),đá,batu,watu,bato,ಕಲ್ಲು (kallu),கல் (kal),రాయి (rāyi),পাথর (pathor),पत्थल (patthal),stone,pierre,પથ્થર (paththar),पत्थर (patthar),سنگ (sang),sasso,दगड (dagaḍ),pedra,ка́мень (kámenʹ),piedra,Stein,پتھر (patthar),پتھر (patthar),石 (ishi),돌 (dol),หิน (hin),jiwe,石 (shí),石頭 (zaq deu),石 (sehk),taş
sand,አሸዋ (asewa),رملة (ramla),rairayi,رمل (raml),رَمْل (raml),رملة (ramla),cát,pasir,wedhi,buhangin,ಮರಳು (maraḷu),மண் (maṇ),ఇసుక (isuka),বালি (bali),बालू (bālū),sand,sable,રેતી (retī),रेत (ret),شن (šen),sabbia,वाळू (vāḷū),areia,песо́к (pesók),arena,Sand,ریت (ret),ریت (ret),砂 (suna),모래 (morae),ทราย (sai),mchanga,沙 (shā),沙子 (so tsy),沙 (sāa),kum
earth/soil,መሬት (meret),ارض (arḍ),kasa,أرض (arḍ),أَرْض (arḍ),واطة (wāṭa),đất,bumi,lemah,lupa,ನೆಲ (nela),பூமி (pūmi),మన్ను (mannu),মাটি (maṭi),ज़मीन (zamīn),earth,terre,ધરતી (dhartī),धरती (dhartī),زمین (zamin),terra,पृथ्वी (pruthvī),terra,земля́ (zemljá),tierra,Erde,زمین (zamīn),دھرتی (dhartī),土 (tsuchi),흙 (heuk),ดิน (din),ardhi,土 (tǔ),爛泥 (na gni),泥 (nàih),yer
cloud,ደመና (demena),سحابة (saḥāba),gajimare,غيم (ghēm),سَحَابَة (saḥābah),غيم (ghēm),mây,awan,méga,ulap,ಮೋಡ (mōḍa),மேகம் (mēkam),మబ్బు (mabbu),মেঘ (megh),बदरी (badrī),cloud,nuage,વાદળ (vādaḷ),बादल (bādal),ابر (abr),nuvola,ढग (ḍhag),nuvem,о́блако (óblako),nube,Wolke,بادل (bādal),بدل (baddal),雲 (kumo),구름 (gureum),เมฆ (mek),wingu,雲 (yún),雲 (yun),雲 (wàhn),bulut
smoke,ጢስ (ṭis),دخان (dukhān),hayaƙi,دخان (dukhkhān),دُخَان (dukhān),دخان (dukhkhān),khói,asap,pegĕl,usok,ಹೊಗೆ (hoge),புகை (pukai),పొగ (poga),ধোঁয়া (dhō̃ẇa),धुआँ (dhuā̃),smoke,fumée,ધુમાડો (dhumāḍo),धुआँ (dhuā̃),دود (dud),fumo,धूर (dhūr),fumo,дым (dym),humo,Rauch,دھواں (dhūā̃),دھُواں (dhū̃ā̃),煙 (kemuri),연기 (yeon-gi),ควัน (khwan),moshi,煙 (yān),煙 (i),煙 (yīn),duman
fire,እሳት (isat),نار (nār),wuta,نار (nār),نَار (nār),نار (nār),lửa,api,geni,apoy,ಬೆಂಕಿ (beṅki),தீ (tī),మంట (maṇṭa),আগুন (agun),आग (āg),fire,feu,આગ (āga),आग (āg),آتش (âtaš),fuoco,आग (āg),fogo,ого́нь (ogónʹ),fuego,Feuer,آگ (āg),اگ (agga),火 (hi),불 (bul),ไฟ (fai),moto,火 (huǒ),火 (hu),火 (fó),ateş
ash,አመድ (amed),رماد (rumād),toka,رماد (ramād),رَمَاد (ramād),رماد (ramād),tro,abu,awu,abo,ಬೂದಿ (būdi),சாம்பல் (cāmpal),బూడిద (būḍida),ছাই (chai),राख (rākh),ash,cendre,રાખ (rākh),राख (rākh),خاکستر (xâkestar),cenere,राख (rākh),cinzas,зола́ (zolá),cenizas,Asche,راکھ (rākh),سواہ (suāha),灰 (hai),재 (jae),เถ้า (thao),majivu,灰 (huī),灰 (hue),灰 (fūi),kül
burn (brightly) (v.),መቃጠል (meqaṭel),حرق (ḥaraq),ƙone,حرق (ḥaraq),حَرَقَ (ḥaraqa),حرق (ḥaraq),đốt,bakar,kobong,magsunog,ಸುಡು (suḍu),எரி (eri),కాలు (kālu),পোড়া (pōṛa),जरे (jare),burn,brûler,બાળવું (bāḷvũ),जलना (jalnā),سوختن (suxtan),bruciare,जळणे (j̈aḷṇe),arder,горе́ть (gorétʹ),quemar,brennen,جلنا (jalnā),ساڑنا (sāṛnā),燃える (moeru),타다 (tada),เผา (phao),waka,燒 (shāo),燒 (sau),燒 (sīu),yanmak
path,መንገድ (meneged),طريق (ṭarīq),haniya,طريق (ṭarīq),طَرِيق (ṭarīq),طريق (ṭarīg),đường,jalan,dalan,daan,ಹಾದಿ (hādi),சாலை (cālai),బాట (bāṭa),পথ (poth),सड़क (saṛak),path,route,રસ્તો (rasto),सड़क (saṛak),راه (râh),strada,रस्ता (rastā),estrada,доро́га (doróga),camino,Straße,سڑک (saṛak),سڑک (saṛak),道 (michi),길 (gil),ทาง (thang),njia,路 (lù),路 (lu),路 (louh),yol
mountain,ተራራ (terara),جبل (gabal),babban dutse,جبل (jabal),جَبَل (jabal),جبل (jabal),núi,gunung,gunung,bundok,ಪರ್ವತ (parvata),மலை (malai),కొండ (koṇḍa),পাহাড় (pahaṛ),पहाड़ (pahāṛ),mountain,montagne,પહાડ (pahāḍ),पहाड़ (pahāṛ),کوه (kuh),montagna,डोंगर (ḍoṅgar),montanha,гора́ (gorá),montaña,Berg,پہاڑ (pahāṛ),پہاڑ (pahāṛ),山 (yama),산 (san),ภูเขา (phukhao),mlima,山 (shān),山 (se),山 (sāan),dağ
red,ቀይ (qey),احمر (aḥmar),ja,أحمر (aḥmar),أَحْمَر (aḥmar),أحمر (aḥmar),đỏ,merah,abang,pula,ಕೆಂಪು (kempu),சிவப்பு (civappu),ఎర్ర (erra),লাল (lal),लाल (lāl),red,rouge,લાલ (lāl),लाल (lāl),سرخ (sorx),rosso,लाल (lāl),vermelho,кра́сный (krásnyj),rojo,rot,سرخ (surkh),لال (lāl),赤い (akai),빨갛다 (ppalgata),แดง (daeng),ekundu,紅 (hóng),紅 (ghon),紅 (hùhng),kırmızı
green,አረንጓዴ (arengwade),اخضر (akhḍar),kore,أخضر (akhḍar),أَخْضَر (akhḍar),أخضر (akhḍar),xanh,hijau,ijo,luntian,ಹಸಿರು (hasiru),பச்சை (paccai),పచ్చ (pacca),সবুজ (śobuj),हरीयर (harīyar),green,vert,લીલો (līlo),हरा (harā),سبز (sabz),verde,हिरवे (hirve),verde,зелёный (zeljónyj),verde,grün,سبز (sabz),ہَرا (harā),緑 (midori),초록색 (choroksaek),เขียว (khiao),kijani,綠 (lǜ),綠 (loq),綠 (luhk),yeşil
yellow,ቢጫ (biča),اصفر (aṣfar),rawaya,أصفر (aṣfar),أَصْفَر (aṣfar),أصفر (asfar),vàng,kuning,kuning,dilaw,ಹಳದಿ (haḷadi),மஞ்சள் (mañcaḷ),పసుపు (pasupu),হলুদ (holud),पीयर (pīyar),yellow,jaune,પીળો (pīḷo),पीला (pīlā),زرد (zard),giallo,पिवळे (pivḷe),amarelo,жёлтый (žóltyj),amarillo,gelb,پیلا (pīlā),پِیلا (pīlā),黄色い (kiiroi),노랗다 (norata),เหลือง (lueang),manjano,黃 (huáng),黃 (waon),黃 (wòhng),sarı
white,ነጭ (neč),ابيض (abyaḍ),fari,أبيض (abyaḍ),أَبْيَض (abyaḍ),أبيض (abyaḍ),trắng,putih,putih,puti,ಬಿಳಿ (biḷi),வெள்ளை (veḷḷai),తెల్ల (tella),সাদা (śada),उज्जर (ujjar),white,blanc,સફેદ (saphed),सफ़ेद (safed),سفید (sefid),bianco,पांढरे (pāṇḍhre),branco,бе́лый (bélyj),blanco,weiß,سفید (safed),چِٹا (ciṭṭā),白い (shiroi),하얗다 (hayata),ขาว (khao),eupe,白 (bái),白 (baq),白 (baahk),beyaz
black,ጥቁር (ṭiqur),اسود (aswad),baƙi,أسود (aswad),أَسْوَد (aswad),أزرق (azrag),đen,hitam,ireng,itim,ಕರಿ (kari),கருப்பு (karuppu),నల్ల (nalla),কালো (kalō),करिया (kariyā),black,noir,કાળો (kāḷo),काला (kālā),سیاه (siyâh),nero,काळे (kāḷe),preto,чёрный (čórnyj),negro,schwarz,سیاہ (siyāh),کالا (kālā),黒い (kuroi),검다 (geomda),ดำ (dam),eusi,黑 (hēi),黑 (heq),黑 (hāk),siyah
night,ሌሊት (lelit),ليل (lēl),dare,ليلة (lēle),لَيْل (layl),ليلة (lēla),đêm,malam,wengi,gabi,ರಾತ್ರಿ (rātri),இரவு (iravu),రేయి (rēyi),রাত (rat),रात (rāt),night,nuit,રાત (rāt),रात (rāt),شب (šab),notte,रात्र (rātra),noite,ночь (nočʹ),noche,Nacht,رات (rāt),رات (rāt),夜 (yoru),밤 (bam),กลางคืน (klangkhuen),usiku,夜 (yè),夜裏 (ya li),夜晚 (yeh maahn),gece
hot,ትኩስ (tikus),سخن (sukhn),mai ɗumi,سخن (sukhn),دَافِئ (dāfi'),دافي (dāfi),nóng,hangat,panas,mainit,ಬೆಚ್ಚ (becca),வெக்கை (vekkai),వెచ్చని (veccani),গরম (gorom),गरम (garam),hot,chaud,ગરમ (garam),गर्म (garm),گرم (garm),caldo,गरम (garam),quente,тёплый (tjóplyj),caliente,heiß,گرم (garm),گرم (garam),熱い (atsui),덥다 (deopda),ร้อน (ron),moto,熱 (rè),暖熱 (noe gniq),熱 (yiht),sıcak
cold,ቀዝቃዛ (qezqaza),برد (bard),mai sanyi,بارد (bārid),بَارِد (bārid),ساقع (sāqi'),lạnh,dingin,adhem,malamig,ಕುಳಿರು (kuḷiru),குளிர்ச்சி (kuḷircci),చల్లని (callani),ঠান্ডা (ṭhanḍa),ठंडा (ṭhaṇḍā),cold,froid,ઠંડુ (ṭhaṇḍu),ठंडा (ṭhaṇḍā),سرد (sard),freddo,गार (gār),frio,холо́дный (xolódnyj),frío,kalt,سرد (sard),ٹھنڈا (ṭhaṇḍā),寒い (samui),춥다 (chupda),หนาว (nao),baridi,冷 (lěng),冷 (lan),凍 (dung),soğuk
full,ሙሉ (mulu),مليان (malyān),cikakke,ملان (malān),مُمْتَلِئ (mumtali'),مليان (malyān),đầy,penuh,kebak,puno,ತುಂಬು (tumbu),முழு (muḻu),నిండు (niṇḍu),ভরা (bhora),पूरा (pūrā),full,plein,ભરેલું (bharelũ),पूरा (pūrā),پر (por),pieno,संपूर्ण (sampūrṇa),cheio,по́лный (pólnyj),lleno,voll,پورا (pūrā),پُورا (pūrā),満ちた (michita),가득하다 (gadeukada),เต็ม (tem),nene,滿 (mǎn),滿 (moe),滿 (múhn),dolu
new,አዲስ (addis),جديد (gidīd),sabo,جديد (jdīd),جَدِيد (jadīd),جديد (jadīd),mới,baru,anyar,bago,ಹೊಸ (hosa),புது (putu),కొత్త (kotta),নতুন (notun),नाया (nāyā),new,nouveau,નવું (navũ),नया (nayā),نو (now),nuovo,नवे (nave),novo,но́вый (nóvyj),nuevo,neu,نیا (nayā),نَواں (navā̃),新しい (atarashii),새롭다 (saeropda),ใหม่ (mai),pya,新 (xīn),新 (shin),新 (sān),yeni
good,ጥሩ (ṭiru),كويس (kuwayyis),mai kyau,منيح (mnīḥ),طَيِّب (ṭayyib),سمح (samiḥ),tốt,baik,apik,mabuti,ಒಳ್ಳೆ (oḷḷe),நல்ல (nalla),మంచి (mañci),ভালো (bhalō),बढ़ियाँ (baṛhiyā̃),good,bon,સારું (sārũ),अच्छा (acchā),خوب (xub),buono,चांगले (cāṅgle),bom,хоро́ший (xoróšij),bueno,gut,اچھا (acchā),چَنگا (caṅgā),良い (yoi),좋다 (jota),ดี (di),ema,好 (hǎo),好 (hau),好 (hóu),iyi
round,ክብ (kib),مدور (midawwar),mai da’ira,مدوّر (mdawwar),مُسْتَدِير (mustadīr),مدور (muḍawwar),tròn,bulat,bundher,bilog,ಗುಂಡು (guṇḍu),உருண்ட (uruṇṭa),గుండ్రని (guṇḍrani),গোল (gōl),गोल (gol),round,rond,ગોળ (goḷ),गोल (gol),گرد (gerd),rotondo,गोल (gol),redondo,кру́глый (krúglyj),redondo,rund,گول (gol),گول (gol),丸い (marui),둥글다 (dunggeulda),กลม (klom),duara,圓 (yuán),圓 (yoe),圓 (yùhn),yuvarlak
dry,ደረቅ (dereq),ناشف (nāshif),maras laima,ناشف (nāshif),جَافّ (jāff),ناشف (nāshif),khô,kering,garing,tuyo,ಒಣ (oṇa),உலர்ந்த (ularnta),పొడి (poḍi),শুকনা (śukona),सूखल (sūkhal),dry,sec,સુકું (sukũ),सूखा (sūkhā),خشک (xošk),secco,कोरडे (korḍe),seco,сухо́й (suxój),seco,trocken,خشک (khushk),سُکّا (sukkā),乾いた (kawaita),마르다 (mareuda),แห้ง (haeng),kavu,乾 (gān),乾 (koe),乾 (gōn),kuru
name,ስም (sim),اسم (ism),suna,اسم (ism),اِسْم (ism),إسم (ism),tên,nama,jeneng,ngalan,ಹೆಸರು (hesaru),பெயர் (peyar),పేరు (pēru),নাম (nam),नाव (nāv),name,nom,નામ (nām),नाम (nām),اسم (esm),nome,नाव (nāv),nome,и́мя (ímja),nombre,Name,نام (nām),ناں (nā̃),名 (na),이름 (ireum),ชื่อ (chue),jina,名字 (míngzi),名字 (min zy),名 (mèhng),ad
